id,city,lat,lng,country,capital
486,Kansas City,39.1238,-94.5541,United States,
487,Zhongli,24.965,121.2168,Taiwan,
488,Novosibirsk,55.0333,82.9167,Russia,1
489,Bilāspur,22.09,82.15,India,
490,Semarang,-6.9667,110.4167,Indonesia,1
491,Ludhiāna,30.91,75.85,India,
492,Nārāyanganj,23.62,90.5,Bangladesh,
493,Stockholm,59.3294,18.0686,Sweden,0
494,Chengtangcun,35.0833,117.15,China,
495,Āgra,27.18,78.02,India,
496,Balandougou,13.3558,-9.5517,Mali,
497,Agwār,27.18,78.02,India,
498,León de los Aldama,21.1167,-101.6833,Mexico,0
499,Yopougon,5.3167,-4.0667,Côte d'Ivoire,
500,Puebla,19.0333,-98.1833,Mexico,1
501,Madurai,9.9252,78.1198,India,0
502,Hebi,35.7497,114.2887,China,
503,Córdoba,-31.4167,-64.1833,Argentina,1
504,Shīrāz,29.61,52.5425,Iran,1
505,Jamshedpur,22.7925,86.1842,India,
506,Tabrīz,38.0814,46.3006,Iran,1
507,Huzhou,30.8925,120.0875,China,0
508,Columbus,39.9862,-82.9855,United States,1
509,Sofia,42.7,23.33,Bulgaria,0
510,Kawasaki,35.5167,139.7,Japan,
511,San José,9.9325,-84.08,Costa Rica,0
512,Aba,5.1167,7.3667,Nigeria,0
513,Palembang,-2.9861,104.7556,Indonesia,1
514,Zhangjiajie,29.1255,110.4844,China,0
515,Kōbe,34.69,135.1956,Japan,1
516,Jiaxing,30.7522,120.75,China,0
517,Charlotte,35.2083,-80.8303,United States,
518,Guiping,23.4,110.0833,China,0
519,Lianjiang,21.6146,110.2794,China,
520,Ximeicun,24.9633,118.3811,China,
521,Jianguang,28.1958,115.7833,China,
522,Yucheng,29.9888,103.0007,China,0
523,Panama City,8.9833,-79.5167,Panama,0
524,Xushan,30.1697,121.2665,China,0
525,Belém,-1.4558,-48.5039,Brazil,1
526,Virginia Beach,36.7335,-76.0435,United States,
527,Leizhou,20.9147,110.0806,China,0
528,Gwangju,35.1653,126.8486,South Korea,1
529,Nāsik,20,73.78,India,
530,Porto Alegre,-30.0331,-51.23,Brazil,1
531,Valencia,10.1667,-68,Venezuela,1
532,Onitsha,6.1667,6.7833,Nigeria,0
533,Abu Dhabi,24.4667,54.3667,United Arab Emirates,0
534,Daejeon,36.351,127.385,South Korea,1
535,Zapopan,20.7167,-103.4,Mexico,0
536,Bronx,40.8501,-73.8662,United States,
537,Yekaterinburg,56.8356,60.6128,Russia,1
538,Huazhou,32.6832,112.079,China,0
539,Kyōto,35.0117,135.7683,Japan,1
540,Jinhua,29.1046,119.6494,China,0
541,Amsterdam,52.3728,4.8936,Netherlands,0
542,Shuangyashan,46.6388,131.1545,China,0
543,Pizhou,34.3422,118.0097,China,
544,El Kelaa des Srarhna,32.0481,-7.4083,Morocco,
545,Dakar,14.6928,-17.4467,Senegal,0
546,Kharkiv,49.9925,36.2311,Ukraine,1
547,Yangshe,31.8775,120.5512,China,0
548,Guyuan,36.008,106.2782,China,
549,Rui’an,27.778,120.6526,China,
550,Khulna,22.8167,89.55,Bangladesh,1
551,Muscat,23.6139,58.5922,Oman,0
552,Wenling,28.3797,121.3718,China,
553,Gaozhou,21.9135,110.8481,China,0
554,Farīdābād,28.4167,77.3,India,
555,Chizhou,30.6583,117.4849,China,0
556,Tel Aviv-Yafo,32.08,34.78,Israel,1
557,Ulaanbaatar,47.9203,106.9172,Mongolia,0
558,Goiânia,-16.6667,-49.25,Brazil,1
559,Fuqing,25.7232,119.3735,China,0
560,Kayseri,38.7225,35.4875,Turkey,1
561,Wuzhong,37.9874,106.1919,China,0
562,Belgrade,44.82,20.46,Serbia,0
563,Pingdu,36.7833,119.9556,China,
564,Aurangābād,19.88,75.32,India,
565,Copenhagen,55.6761,12.5683,Denmark,0
566,Yangquan,37.8576,113.5762,China,0
567,Yutan,28.3147,112.554,China,0
568,Huangshan,29.7132,118.3151,China,0
569,Auckland,-36.8406,174.74,New Zealand,1
570,Makassar,-5.1619,119.4362,Indonesia,1
571,Santiago,19.4572,-70.6889,Dominican Republic,1
572,Milwaukee,43.0642,-87.9675,United States,
573,Rājkot,22.3,70.7833,India,
574,Prague,50.0875,14.4214,Czechia,0
575,Samsun,41.2903,36.3336,Turkey,1
576,Liangshi,27.2578,111.7351,China,
577,Barranquilla,10.9833,-74.8019,Colombia,1
578,Saitama,35.8614,139.6456,Japan,1
579,Guarulhos,-23.4628,-46.5328,Brazil,
580,Al Başrah,30.515,47.81,Iraq,1
581,Mandalay,21.9831,96.0844,Myanmar,1
582,Juárez,31.7386,-106.487,Mexico,0
583,Xintai,35.91,117.78,China,
584,Wusong,30.9333,117.7667,China,0
585,Meerut,28.98,77.71,India,
586,Yushu,44.8249,126.5451,China,0
587,Rongcheng,26.2312,104.0966,China,
588,Huazhou,21.654,110.6294,China,
589,Adelaide,-34.9275,138.6,Australia,1
590,Baishan,41.9377,126.4179,China,0
591,Dayan,26.8808,100.2208,China,
592,Haicheng,40.8523,122.7474,China,0
593,Tripoli,32.8872,13.1914,Libya,0
594,Jiangyin,31.9087,120.2653,China,
595,Yicheng,31.3697,119.8239,China,0
596,Huaiyin,33.5819,119.028,China,
597,Porto,41.1621,-8.622,Portugal,1
598,Cacuaco,-8.8053,13.2444,Angola,
599,Soweto,-26.2678,27.8585,South Africa,
600,Rosario,-32.9575,-60.6394,Argentina,0
601,Canagatan,18,121.8,Philippines,
602,Helsinki,60.1708,24.9375,Finland,0
603,Jabalpur,23.1667,79.9333,India,
604,Providence,41.823,-71.4187,United States,1
605,Rucheng,32.3852,120.5634,China,0
